dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
mrpc,4,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7474747474747475,0.7561224742978475,-0.0086477268231,24
mrpc,4,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.765,0.7589583333333333,0.006041666666666723,24
mrpc,4,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7628598097832942,0.7561224742978475,0.006737335485446638,24
mrpc,4,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.745,0.7508333333333334,-0.005833333333333357,24
mrpc,4,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7446872418712923,0.7503894409731479,-0.005702199101855543,24
mrpc,4,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.74,0.7508333333333334,-0.010833333333333361,24
mrpc,4,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7393483709273183,0.7503894409731479,-0.011041070045829549,24
mrpc,4,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.73,0.7508333333333334,-0.02083333333333337,24
mrpc,4,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7297567811029926,0.7503894409731479,-0.02063265987015528,24
mrpc,4,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.72,0.7379166666666667,-0.017916666666666692,24
mrpc,4,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7144022847817217,0.7346262722504503,-0.020223987468728555,24
mrpc,4,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.74,0.7379166666666667,0.002083333333333326,24
mrpc,4,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7387197266606371,0.7346262722504503,0.004093454410186825,24
mrpc,4,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.76,0.7379166666666667,0.022083333333333344,24
mrpc,4,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7584541062801933,0.7346262722504503,0.023827834029742978,24
