dataset,seed,comparison,order_id,metric,shot_count,cluster_mean_difference,cluster_median_difference,difference_2shot,difference_4shot,difference_8shot
rte,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,0.0012938596491227639,0.0012499999999999734,-0.0025000000000000577,0.0012499999999999734,0.005131578947368376
rte,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,0.0014148240255106674,0.0013155545119932777,-0.0024918097821134966,0.0013155545119932777,0.005420727346652221
rte,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,0.007467105263157932,0.0025000000000000577,0.0025000000000000577,-0.0006249999999999867,0.020526315789473726
rte,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,0.0075487649604196365,0.002471101017015087,0.002471101017015087,-0.0007766161859610321,0.020951810050204855
rte,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,0.004133771929824596,0.004375000000000018,0.0025000000000000577,0.004375000000000018,0.0055263157894737125
rte,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,0.004377617037689278,0.004502791998189037,0.002471101017015087,0.004502791998189037,0.006158958097863709
rte,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,0.002467105263157928,0.0025000000000000577,0.0025000000000000577,-0.0006249999999999867,0.0055263157894737125
rte,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,0.002558769684057327,0.002471101017015087,0.002471101017015087,-0.000588470188691792,0.005793678223848686
rte,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,-0.009543128654970793,-0.010921052631578942,-0.0025000000000000577,-0.01520833333333338,-0.010921052631578942
rte,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,-0.009828717182512178,-0.011191035048041975,-0.002276659221513544,-0.016018457277981013,-0.011191035048041975
rte,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.007876461988304126,-0.010208333333333375,-0.0025000000000000577,-0.010208333333333375,-0.010921052631578942
rte,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.008067224745903786,-0.010733979968155838,-0.002276659221513544,-0.010733979968155838,-0.011191035048041975
rte,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,0.00545687134502922,-0.0002083333333333659,-0.0025000000000000577,-0.0002083333333333659,0.019078947368421084
rte,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,0.005787946775284196,0.00041061206621262336,-0.002276659221513544,0.00041061206621262336,0.019229887481153507
rte,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,-0.004817251461988303,-0.0024999999999999467,-0.0024999999999999467,-0.012083333333333335,0.0001315789473683715
rte,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,-0.004825255285122787,-0.002524236218995002,-0.002524236218995002,-0.012139119482976746,0.0001875898466033865
rte,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.006483918128654971,-0.0024999999999999467,-0.0024999999999999467,-0.022083333333333344,0.005131578947368376
rte,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.0064564891162817535,-0.002524236218995002,-0.002524236218995002,-0.022078036497084952,0.005232805367234694
rte,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,-0.006483918128654971,-0.00708333333333333,-0.0024999999999999467,-0.00708333333333333,-0.009868421052631637
rte,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,-0.006483033114609997,-0.007100187946783132,-0.002524236218995002,-0.007100187946783132,-0.009824675178051856
rte,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,-0.004696637426900556,-0.00895833333333329,0.0050000000000000044,-0.00895833333333329,-0.01013157894736838
rte,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,-0.004943269204920535,-0.00924970552497828,0.004923992035488101,-0.00924970552497828,-0.010504094125271424
rte,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,0.000303362573099449,-0.0001315789473683715,0.0050000000000000044,-0.003958333333333286,-0.0001315789473683715
rte,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,0.000412385961682656,0.00022640901001269587,0.004923992035488101,-0.003913243160452828,0.00022640901001269587
rte,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,-0.0030299707602338874,-0.005131578947368376,0.0050000000000000044,-0.00895833333333329,-0.005131578947368376
rte,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,-0.0031389557818719918,-0.005091153856125796,0.004923992035488101,-0.00924970552497828,-0.005091153856125796
sst2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,0.005639619883040921,0.0050000000000000044,0.0050000000000000044,0.012708333333333321,-0.0007894736842105621
sst2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,0.005655092485001734,0.005005626378437933,0.005005626378437933,0.012730451044177582,-0.0007707999676103139
sst2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.004360380116959088,0.0027083333333333126,0.0050000000000000044,0.0027083333333333126,-0.02078947368421058
sst2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.004432612169379994,0.002729450944167655,0.005005626378437933,0.002729450944167655,-0.02103291383074557
sst2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,0.008972953216374221,0.009210526315789336,-0.0050000000000000044,0.02270833333333333,0.009210526315789336
sst2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,0.009006027183071677,0.009292256783465569,-0.005005626378438044,0.02273145114418751,0.009292256783465569
sst2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,-0.003855994152046812,-0.007499999999999951,-0.007499999999999951,-0.011041666666666727,0.006973684210526243
sst2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,-0.003846266413112994,-0.0075151938822479725,-0.0075151938822479725,-0.011013056557476308,0.006989451200385299
sst2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.0005226608187134755,-0.006041666666666723,-0.007499999999999951,-0.006041666666666723,0.011973684210526248
sst2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.0005321204198611337,-0.00608299636272247,-0.0075151938822479725,-0.00608299636272247,0.012001828985387042
sst2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,-0.005522660818713443,-0.007499999999999951,-0.007499999999999951,0.003958333333333286,-0.013026315789473664
sst2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,-0.005526067138825974,-0.0075151938822479725,-0.0075151938822479725,0.00398206779558008,-0.01304507532981003
sst2,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,-0.009382309941520414,-0.008541666666666559,0.0,-0.008541666666666559,-0.01960526315789468
sst2,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,-0.009390342997573575,-0.008534778166749857,4.000400040005125e-06,-0.008534778166749857,-0.019640251226010874
sst2,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.007715643274853782,-0.004605263157894779,0.0,-0.018541666666666567,-0.004605263157894779
sst2,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.007703790477678107,-0.0045933469108139224,4.000400040005125e-06,-0.018522024922260405,-0.0045933469108139224
sst2,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,0.003951023391812858,0.00539473684210523,0.0,0.006458333333333344,0.00539473684210523
sst2,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,0.00395249810350351,0.0053866450859847426,-4.000400039894103e-06,0.006474849624565682,0.0053866450859847426
sst2,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,0.0015131578947368645,0.0024999999999999467,0.0024999999999999467,-0.00374999999999992,0.0057894736842105665
sst2,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,0.0015222257951109652,0.0025146979988804885,0.0025146979988804885,-0.003740167570002839,0.005792146956455246
sst2,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.001820175438596472,0.0024999999999999467,0.0024999999999999467,0.006249999999999978,-0.01421052631578934
sst2,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.0018000164977048927,0.0025146979988804885,0.0025146979988804885,0.00628810505149946,-0.014202852543494626
sst2,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,-0.00015350877192980375,0.0007894736842105621,0.0024999999999999467,-0.00374999999999992,0.0007894736842105621
sst2,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,-0.00015625646758258652,0.0007957724221294704,0.0025146979988804885,-0.0037792398237577185,0.0007957724221294704
sst2,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,0.002441520467836226,0.0031578947368421373,0.004999999999999893,-0.0008333333333333526,0.0031578947368421373
sst2,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,0.0024689218362498044,0.0031862033000683576,0.005063954283254235,-0.0008433920745731793,0.0031862033000683576
sst2,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,0.005774853801169562,0.004999999999999893,0.004999999999999893,-0.0008333333333333526,0.013157894736842146
sst2,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,0.0058253049765033165,0.005063954283254235,0.005063954283254235,-0.0008072747829688254,0.01321923542922454
sst2,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,-0.0025584795321637785,-0.0008333333333333526,0.004999999999999893,-0.0008333333333333526,-0.011842105263157876
sst2,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,-0.0025746939578313497,-0.0008433920745731793,0.005063954283254235,-0.0008433920745731793,-0.011944644082175104
