dataset,model_id,total_shots,seed,order_family,order_id,n_eval,accuracy,macro_f1,mean_prompt_tokens,total_latency_seconds
sst2,Qwen/Qwen3-4B,2,1,exhaustive,perm_00,200,0.945,0.9449876222149983,102.285,6.5960456640750635
sst2,Qwen/Qwen3-4B,2,1,exhaustive,perm_01,200,0.955,0.9549988749718743,102.285,6.286631948896684
sst2,Qwen/Qwen3-4B,2,2,exhaustive,perm_00,200,0.92,0.919967987194878,85.14,6.3161910400376655
sst2,Qwen/Qwen3-4B,2,2,exhaustive,perm_01,200,0.935,0.934998374959374,85.14,6.307304354646476
sst2,Qwen/Qwen3-4B,2,3,exhaustive,perm_00,200,0.92,0.9199919991999201,85.515,6.3443322840030305
sst2,Qwen/Qwen3-4B,2,3,exhaustive,perm_01,200,0.92,0.92,85.515,6.310959901980823
sst2,Qwen/Qwen3-4B,2,4,exhaustive,perm_00,200,0.95,0.9499949994999499,76.605,6.369340670935344
sst2,Qwen/Qwen3-4B,2,4,exhaustive,perm_01,200,0.945,0.9449656035021889,76.605,6.371530241915025
sst2,Qwen/Qwen3-4B,2,5,exhaustive,perm_00,200,0.94,0.939783219590526,98.875,6.4158929609984625
sst2,Qwen/Qwen3-4B,2,5,exhaustive,perm_01,200,0.93,0.9296553110240177,98.875,6.378610615734942
rte,Qwen/Qwen3-4B,2,1,exhaustive,perm_00,200,0.86,0.8599859985998599,221.56,6.362497054156847
rte,Qwen/Qwen3-4B,2,1,exhaustive,perm_01,200,0.865,0.8649696181640869,221.56,6.364046182890888
rte,Qwen/Qwen3-4B,2,2,exhaustive,perm_00,200,0.83,0.8297275641025641,215.47,6.427397163992282
rte,Qwen/Qwen3-4B,2,2,exhaustive,perm_01,200,0.825,0.8247853620685339,215.47,6.415150246146368
rte,Qwen/Qwen3-4B,2,3,exhaustive,perm_00,200,0.86,0.8598738864978481,238.405,8.072654821095057
rte,Qwen/Qwen3-4B,2,3,exhaustive,perm_01,200,0.865,0.8644272049408752,238.405,7.8426969579886645
rte,Qwen/Qwen3-4B,2,4,exhaustive,perm_00,200,0.865,0.8648344221671547,256.0,6.52651093705208
rte,Qwen/Qwen3-4B,2,4,exhaustive,perm_01,200,0.87,0.8698828946051447,256.0,6.51464976000716
rte,Qwen/Qwen3-4B,2,5,exhaustive,perm_00,200,0.84,0.839421918908069,317.03,6.895548268134007
rte,Qwen/Qwen3-4B,2,5,exhaustive,perm_01,200,0.83,0.8295739348370927,317.03,6.921122921165079
mrpc,Qwen/Qwen3-4B,2,1,exhaustive,perm_00,200,0.73,0.7277951406391774,201.47,6.476731099159224
mrpc,Qwen/Qwen3-4B,2,1,exhaustive,perm_01,200,0.71,0.7076318177235609,201.47,6.46186855394626
mrpc,Qwen/Qwen3-4B,2,2,exhaustive,perm_00,200,0.7,0.6963255390221683,223.54,6.4422916417534
mrpc,Qwen/Qwen3-4B,2,2,exhaustive,perm_01,200,0.705,0.7044014128610436,223.54,6.528746295109158
mrpc,Qwen/Qwen3-4B,2,3,exhaustive,perm_00,200,0.725,0.7152545882840207,211.75,6.502461232768837
mrpc,Qwen/Qwen3-4B,2,3,exhaustive,perm_01,200,0.77,0.7694235588972431,211.75,6.467205999739235
mrpc,Qwen/Qwen3-4B,2,4,exhaustive,perm_00,200,0.735,0.7344622861294121,244.48,6.42222277354449
mrpc,Qwen/Qwen3-4B,2,4,exhaustive,perm_01,200,0.77,0.7696314102564102,244.48,6.404024905059487
mrpc,Qwen/Qwen3-4B,2,5,exhaustive,perm_00,200,0.74,0.7373737373737373,225.265,6.357004273944767
mrpc,Qwen/Qwen3-4B,2,5,exhaustive,perm_01,200,0.73,0.7286704853783539,225.265,6.357039510126924
