dataset,model_id,total_shots,seed,order_family,order_id,n_eval,accuracy,macro_f1,mean_prompt_tokens,total_latency_seconds
sst2,Qwen/Qwen3-4B,4,3,canonical,canonical,200,0.95,0.9499949994999499,147.515,9.421802912052954
sst2,Qwen/Qwen3-4B,4,3,label_grouped,label_grouped,200,0.925,0.9249981249531238,147.515,10.480908882018412
sst2,Qwen/Qwen3-4B,4,3,alternating,alternating,200,0.935,0.9349853717086344,147.515,9.70636319591722
sst2,Qwen/Qwen3-4B,4,3,random,random_0,200,0.925,0.924908012315086,147.515,10.001978861153475
sst2,Qwen/Qwen3-4B,4,3,random,random_1,200,0.94,0.93999399939994,147.515,9.370737502904376
sst2,Qwen/Qwen3-4B,4,3,random,random_2,200,0.92,0.9198717948717948,147.515,9.329280281162937
sst2,Qwen/Qwen3-4B,4,3,random,random_3,200,0.935,0.9349853717086344,147.515,7.975809314986691
sst2,Qwen/Qwen3-4B,4,3,random,random_4,200,0.95,0.9499949994999499,147.515,8.009315766918007
sst2,Qwen/Qwen3-4B,8,3,canonical,canonical,200,0.95,0.9499799919967986,146.515,9.327680447007879
sst2,Qwen/Qwen3-4B,8,3,label_grouped,label_grouped,200,0.94,0.94,146.515,9.13976257291506
sst2,Qwen/Qwen3-4B,8,3,alternating,alternating,200,0.925,0.924953095684803,146.515,10.130714619052014
sst2,Qwen/Qwen3-4B,8,3,random,random_0,200,0.95,0.9500000000000001,146.515,10.083534147095634
sst2,Qwen/Qwen3-4B,8,3,random,random_1,200,0.955,0.9549988749718743,146.515,10.02005490893498
sst2,Qwen/Qwen3-4B,8,3,random,random_2,200,0.95,0.9499949994999499,146.515,9.853212693924434
sst2,Qwen/Qwen3-4B,8,3,random,random_3,200,0.95,0.9499949994999499,146.515,9.856246709008701
sst2,Qwen/Qwen3-4B,8,3,random,random_4,200,0.955,0.9549898727213622,146.515,10.24650405702414
sst2,Qwen/Qwen3-4B,2,4,canonical,canonical,200,0.95,0.9499949994999499,76.605,10.028440182999475
sst2,Qwen/Qwen3-4B,2,4,label_grouped,label_grouped,200,0.95,0.9499949994999499,76.605,9.694788750974112
sst2,Qwen/Qwen3-4B,2,4,alternating,alternating,200,0.95,0.9499949994999499,76.605,9.619815670928801
sst2,Qwen/Qwen3-4B,2,4,random,random_0,200,0.945,0.9449656035021889,76.605,9.446881875031977
sst2,Qwen/Qwen3-4B,2,4,random,random_1,200,0.945,0.9449656035021889,76.605,9.444861413925537
sst2,Qwen/Qwen3-4B,2,4,random,random_2,200,0.95,0.9499949994999499,76.605,9.824739505071193
sst2,Qwen/Qwen3-4B,2,4,random,random_3,200,0.945,0.9449656035021889,76.605,9.672639614989748
sst2,Qwen/Qwen3-4B,2,4,random,random_4,200,0.945,0.9449656035021889,76.605,9.710216156992828
sst2,Qwen/Qwen3-4B,4,4,canonical,canonical,200,0.935,0.9349202773397411,143.605,9.989841947084642
sst2,Qwen/Qwen3-4B,4,4,label_grouped,label_grouped,200,0.945,0.9449876222149983,143.605,10.067154799995478
sst2,Qwen/Qwen3-4B,4,4,alternating,alternating,200,0.935,0.934959349593496,143.605,10.028939076015376
sst2,Qwen/Qwen3-4B,4,4,random,random_0,200,0.945,0.9449876222149983,143.605,9.943330006935867
sst2,Qwen/Qwen3-4B,4,4,random,random_1,200,0.935,0.9349202773397411,143.605,9.97950366816076
sst2,Qwen/Qwen3-4B,4,4,random,random_2,200,0.94,0.9399759903961584,143.605,9.812707307952223
sst2,Qwen/Qwen3-4B,4,4,random,random_3,200,0.93,0.9298878205128205,143.605,9.952638985196245
sst2,Qwen/Qwen3-4B,4,4,random,random_4,200,0.935,0.9349202773397411,143.605,9.86555102802231
sst2,Qwen/Qwen3-4B,8,4,canonical,canonical,200,0.945,0.9449986249656241,220.605,10.240797460079193
sst2,Qwen/Qwen3-4B,8,4,label_grouped,label_grouped,200,0.93,0.93,220.605,10.482763580104802
sst2,Qwen/Qwen3-4B,8,4,alternating,alternating,200,0.95,0.9499949994999499,220.605,9.95504426296975
sst2,Qwen/Qwen3-4B,8,4,random,random_0,200,0.95,0.9499949994999499,220.605,10.125073273084126
sst2,Qwen/Qwen3-4B,8,4,random,random_1,200,0.94,0.93999399939994,220.605,10.153146571086836
sst2,Qwen/Qwen3-4B,8,4,random,random_2,200,0.94,0.9399459513562205,220.605,9.992551924005966
sst2,Qwen/Qwen3-4B,8,4,random,random_3,200,0.945,0.9449876222149983,220.605,9.15071521801292
sst2,Qwen/Qwen3-4B,8,4,random,random_4,200,0.945,0.9449876222149983,220.605,9.119408687081886
sst2,Qwen/Qwen3-4B,2,5,canonical,canonical,200,0.94,0.939783219590526,98.875,8.82352232503763
sst2,Qwen/Qwen3-4B,2,5,label_grouped,label_grouped,200,0.94,0.939783219590526,98.875,9.543360561001464
sst2,Qwen/Qwen3-4B,2,5,alternating,alternating,200,0.94,0.939783219590526,98.875,9.439694318018155
sst2,Qwen/Qwen3-4B,2,5,random,random_0,200,0.94,0.939783219590526,98.875,9.26617745308613
sst2,Qwen/Qwen3-4B,2,5,random,random_1,200,0.93,0.9296553110240177,98.875,9.269460090130451
sst2,Qwen/Qwen3-4B,2,5,random,random_2,200,0.93,0.9296553110240177,98.875,9.340816322117462
sst2,Qwen/Qwen3-4B,2,5,random,random_3,200,0.93,0.9296553110240177,98.875,9.442597386077978
sst2,Qwen/Qwen3-4B,2,5,random,random_4,200,0.93,0.9296553110240177,98.875,9.449220096023055
sst2,Qwen/Qwen3-4B,4,5,canonical,canonical,200,0.955,0.9549086900974473,138.875,9.602517538092798
sst2,Qwen/Qwen3-4B,4,5,label_grouped,label_grouped,200,0.955,0.9549448073890516,138.875,9.598328045976814
sst2,Qwen/Qwen3-4B,4,5,alternating,alternating,200,0.955,0.9549086900974473,138.875,8.919101949883043
sst2,Qwen/Qwen3-4B,4,5,random,random_0,200,0.935,0.9347242097863473,138.875,9.246971204163856
sst2,Qwen/Qwen3-4B,4,5,random,random_1,200,0.965,0.9649921232277263,138.875,9.76987190602813
sst2,Qwen/Qwen3-4B,4,5,random,random_2,200,0.965,0.9649781113195747,138.875,9.803528111064225
sst2,Qwen/Qwen3-4B,4,5,random,random_3,200,0.955,0.9549086900974473,138.875,9.940194930983125
sst2,Qwen/Qwen3-4B,4,5,random,random_4,200,0.945,0.9448331201885704,138.875,9.828256110995426
sst2,Qwen/Qwen3-4B,8,5,canonical,canonical,200,0.945,0.9448331201885704,212.875,10.178286086054868
sst2,Qwen/Qwen3-4B,8,5,label_grouped,label_grouped,200,0.97,0.96999699969997,212.875,10.053894390002824
sst2,Qwen/Qwen3-4B,8,5,alternating,alternating,200,0.96,0.9599639675708138,212.875,9.92421847206424
sst2,Qwen/Qwen3-4B,8,5,random,random_0,200,0.96,0.9599639675708138,212.875,10.068618084857007
sst2,Qwen/Qwen3-4B,8,5,random,random_1,200,0.96,0.9599358974358974,212.875,10.213266997030587
sst2,Qwen/Qwen3-4B,8,5,random,random_2,200,0.955,0.9549086900974473,212.875,10.28303688390588
sst2,Qwen/Qwen3-4B,8,5,random,random_3,200,0.965,0.9649570724137068,212.875,10.261670289037284
sst2,Qwen/Qwen3-4B,8,5,random,random_4,200,0.95,0.949874686716792,212.875,10.237392622977495
rte,Qwen/Qwen3-4B,2,1,canonical,canonical,200,0.86,0.8599859985998599,221.56,10.528750311917975
rte,Qwen/Qwen3-4B,2,1,label_grouped,label_grouped,200,0.865,0.8649696181640869,221.56,10.849928399984492
rte,Qwen/Qwen3-4B,2,1,alternating,alternating,200,0.865,0.8649696181640869,221.56,10.481603860054747
rte,Qwen/Qwen3-4B,2,1,random,random_0,200,0.865,0.8649696181640869,221.56,10.703190066895331
rte,Qwen/Qwen3-4B,2,1,random,random_1,200,0.865,0.8649696181640869,221.56,10.749907164092292
rte,Qwen/Qwen3-4B,2,1,random,random_2,200,0.865,0.8649696181640869,221.56,10.579701310009114
rte,Qwen/Qwen3-4B,2,1,random,random_3,200,0.865,0.8649696181640869,221.56,10.60382304796076
rte,Qwen/Qwen3-4B,2,1,random,random_4,200,0.86,0.8599859985998599,221.56,10.660506257030647
rte,Qwen/Qwen3-4B,4,1,canonical,canonical,200,0.855,0.8549963749093727,342.56,12.746984607903869
rte,Qwen/Qwen3-4B,4,1,label_grouped,label_grouped,200,0.865,0.8649696181640869,342.56,12.82565986100235
rte,Qwen/Qwen3-4B,4,1,alternating,alternating,200,0.855,0.8548221571424995,342.56,11.791055209963815
rte,Qwen/Qwen3-4B,4,1,random,random_0,200,0.855,0.8549963749093727,342.56,11.158895679051057
rte,Qwen/Qwen3-4B,4,1,random,random_1,200,0.855,0.8548221571424995,342.56,11.293763367983047
rte,Qwen/Qwen3-4B,4,1,random,random_2,200,0.855,0.8548221571424995,342.56,11.38025897310581
rte,Qwen/Qwen3-4B,4,1,random,random_3,200,0.85,0.84998499849985,342.56,9.931585579106468
rte,Qwen/Qwen3-4B,4,1,random,random_4,200,0.86,0.8599439775910365,342.56,10.858564530106378
rte,Qwen/Qwen3-4B,8,1,canonical,canonical,200,0.855,0.8543847756772363,1000.56,20.205242342024576
rte,Qwen/Qwen3-4B,8,1,label_grouped,label_grouped,200,0.86,0.8596491228070176,1000.56,20.011896983880433
rte,Qwen/Qwen3-4B,8,1,alternating,alternating,200,0.845,0.8441231929604023,1000.56,19.84878487198148
rte,Qwen/Qwen3-4B,8,1,random,random_0,200,0.87,0.8696741854636592,1000.56,20.017259631917113
rte,Qwen/Qwen3-4B,8,1,random,random_1,200,0.87,0.8695303091128062,1000.56,20.064263637177646
rte,Qwen/Qwen3-4B,8,1,random,random_2,200,0.84,0.8386934166750681,1000.56,19.970035113146878
rte,Qwen/Qwen3-4B,8,1,random,random_3,200,0.835,0.8334973132521002,1000.56,19.949444838202908
rte,Qwen/Qwen3-4B,8,1,random,random_4,200,0.84,0.8389694041867956,1000.56,20.046844022072037
rte,Qwen/Qwen3-4B,2,2,canonical,canonical,200,0.83,0.8297275641025641,215.47,9.279699054037337
rte,Qwen/Qwen3-4B,2,2,label_grouped,label_grouped,200,0.83,0.8297275641025641,215.47,9.210403191013029
rte,Qwen/Qwen3-4B,2,2,alternating,alternating,200,0.83,0.8297275641025641,215.47,9.066926491068443
rte,Qwen/Qwen3-4B,2,2,random,random_0,200,0.83,0.8297275641025641,215.47,9.115736685926095
rte,Qwen/Qwen3-4B,2,2,random,random_1,200,0.825,0.8247853620685339,215.47,9.16335676694871
rte,Qwen/Qwen3-4B,2,2,random,random_2,200,0.825,0.8247853620685339,215.47,9.080201564938761
rte,Qwen/Qwen3-4B,2,2,random,random_3,200,0.83,0.8297275641025641,215.47,9.105002656957367
rte,Qwen/Qwen3-4B,2,2,random,random_4,200,0.83,0.8297275641025641,215.47,9.159528152144048
rte,Qwen/Qwen3-4B,4,2,canonical,canonical,200,0.83,0.8295739348370927,442.47,11.520160627929727
rte,Qwen/Qwen3-4B,4,2,label_grouped,label_grouped,200,0.835,0.8346651970239736,442.47,11.520502193045104
rte,Qwen/Qwen3-4B,4,2,alternating,alternating,200,0.83,0.8293857888398235,442.47,11.536095788134844
rte,Qwen/Qwen3-4B,4,2,random,random_0,200,0.835,0.8346651970239736,442.47,11.493133663170738
rte,Qwen/Qwen3-4B,4,2,random,random_1,200,0.83,0.8295739348370927,442.47,10.876594352914253
rte,Qwen/Qwen3-4B,4,2,random,random_2,200,0.82,0.8195488721804511,442.47,11.762754413066432
rte,Qwen/Qwen3-4B,4,2,random,random_3,200,0.84,0.8392121394834691,442.47,11.541643182965345
rte,Qwen/Qwen3-4B,4,2,random,random_4,200,0.835,0.8346651970239736,442.47,11.469205458080978
rte,Qwen/Qwen3-4B,8,2,canonical,canonical,200,0.835,0.8342999171499585,804.47,17.956180121022044
rte,Qwen/Qwen3-4B,8,2,label_grouped,label_grouped,200,0.835,0.8346651970239736,804.47,18.301155217995984
rte,Qwen/Qwen3-4B,8,2,alternating,alternating,200,0.85,0.8494580489763147,804.47,18.130697310931282
rte,Qwen/Qwen3-4B,8,2,random,random_0,200,0.825,0.824010056568196,804.47,18.183661181043135
rte,Qwen/Qwen3-4B,8,2,random,random_1,200,0.83,0.8293857888398235,804.47,17.967488658017828
rte,Qwen/Qwen3-4B,8,2,random,random_2,200,0.83,0.8291628982011858,804.47,18.084120620027534
rte,Qwen/Qwen3-4B,8,2,random,random_3,200,0.825,0.823406241327985,804.47,18.070147846956388
rte,Qwen/Qwen3-4B,8,2,random,random_4,200,0.845,0.8443423464135975,804.47,17.905583442159696
rte,Qwen/Qwen3-4B,2,3,canonical,canonical,200,0.86,0.8598738864978481,238.405,9.382796642064932
rte,Qwen/Qwen3-4B,2,3,label_grouped,label_grouped,200,0.86,0.8598738864978481,238.405,9.491772538924124
rte,Qwen/Qwen3-4B,2,3,alternating,alternating,200,0.86,0.8598738864978481,238.405,9.34522820803977
rte,Qwen/Qwen3-4B,2,3,random,random_0,200,0.86,0.8598738864978481,238.405,9.225540351995733
rte,Qwen/Qwen3-4B,2,3,random,random_1,200,0.865,0.8644272049408752,238.405,9.528852997085778
rte,Qwen/Qwen3-4B,2,3,random,random_2,200,0.86,0.8598738864978481,238.405,9.488219163933536
rte,Qwen/Qwen3-4B,2,3,random,random_3,200,0.86,0.8598738864978481,238.405,9.455393430835102
rte,Qwen/Qwen3-4B,2,3,random,random_4,200,0.86,0.8598738864978481,238.405,9.32433600409422
rte,Qwen/Qwen3-4B,4,3,canonical,canonical,200,0.835,0.8337991992143234,381.405,10.925679193984251
rte,Qwen/Qwen3-4B,4,3,label_grouped,label_grouped,200,0.825,0.822654607179955,381.405,10.900161148005282
rte,Qwen/Qwen3-4B,4,3,alternating,alternating,200,0.82,0.8173701298701298,381.405,10.914596290065674
rte,Qwen/Qwen3-4B,4,3,random,random_0,200,0.825,0.8222222222222222,381.405,10.854200882138684
rte,Qwen/Qwen3-4B,4,3,random,random_1,200,0.825,0.822654607179955,381.405,11.333119337912649
rte,Qwen/Qwen3-4B,4,3,random,random_2,200,0.82,0.8173701298701298,381.405,11.420568597997772
rte,Qwen/Qwen3-4B,4,3,random,random_3,200,0.835,0.8334973132521002,381.405,11.421967397021945
rte,Qwen/Qwen3-4B,4,3,random,random_4,200,0.835,0.8334973132521002,381.405,11.028352846959024
rte,Qwen/Qwen3-4B,8,3,canonical,canonical,200,0.875,0.8742928975487115,720.405,16.249285806159605
rte,Qwen/Qwen3-4B,8,3,label_grouped,label_grouped,200,0.845,0.843871975019516,720.405,16.05525180393306
rte,Qwen/Qwen3-4B,8,3,alternating,alternating,200,0.845,0.843871975019516,720.405,16.06406658802007
rte,Qwen/Qwen3-4B,8,3,random,random_0,200,0.86,0.8593106220480354,720.405,16.060796401070547
rte,Qwen/Qwen3-4B,8,3,random,random_1,200,0.865,0.8644272049408752,720.405,16.01278157408524
rte,Qwen/Qwen3-4B,8,3,random,random_2,200,0.845,0.843871975019516,720.405,15.93861876198207
rte,Qwen/Qwen3-4B,8,3,random,random_3,200,0.855,0.8539447508247086,720.405,15.975006594089791
rte,Qwen/Qwen3-4B,8,3,random,random_4,200,0.85,0.8492613807657521,720.405,16.015860956904362
rte,Qwen/Qwen3-4B,2,4,canonical,canonical,200,0.865,0.8648344221671547,256.0,9.005539900084841
rte,Qwen/Qwen3-4B,2,4,label_grouped,label_grouped,200,0.865,0.8648344221671547,256.0,10.455422260027262
rte,Qwen/Qwen3-4B,2,4,alternating,alternating,200,0.865,0.8648344221671547,256.0,10.236454191806843
rte,Qwen/Qwen3-4B,2,4,random,random_0,200,0.87,0.8698828946051447,256.0,9.997564611956477
rte,Qwen/Qwen3-4B,2,4,random,random_1,200,0.865,0.8648344221671547,256.0,10.363097238034243
rte,Qwen/Qwen3-4B,2,4,random,random_2,200,0.865,0.8648344221671547,256.0,10.33195299001818
rte,Qwen/Qwen3-4B,2,4,random,random_3,200,0.87,0.8698828946051447,256.0,10.46205128202564
rte,Qwen/Qwen3-4B,2,4,random,random_4,200,0.87,0.8698828946051447,256.0,10.019491281011142
rte,Qwen/Qwen3-4B,4,4,canonical,canonical,200,0.875,0.8749218261413383,364.0,12.080687068839325
rte,Qwen/Qwen3-4B,4,4,label_grouped,label_grouped,200,0.86,0.8599439775910365,364.0,12.210515938917524
rte,Qwen/Qwen3-4B,4,4,alternating,alternating,200,0.87,0.8698828946051447,364.0,12.128419516098802
rte,Qwen/Qwen3-4B,4,4,random,random_0,200,0.89,0.8899009108197378,364.0,12.179109438991873
rte,Qwen/Qwen3-4B,4,4,random,random_1,200,0.885,0.8849280800500313,364.0,12.116238531874842
rte,Qwen/Qwen3-4B,4,4,random,random_2,200,0.885,0.8849280800500313,364.0,12.160148238996044
rte,Qwen/Qwen3-4B,4,4,random,random_3,200,0.885,0.8849280800500313,364.0,10.777606047107838
rte,Qwen/Qwen3-4B,4,4,random,random_4,200,0.885,0.8849280800500313,364.0,9.34784892197058
rte,Qwen/Qwen3-4B,8,4,canonical,canonical,200,0.865,0.8648344221671547,706.0,15.778663818826317
rte,Qwen/Qwen3-4B,8,4,label_grouped,label_grouped,200,0.88,0.8798919027124412,706.0,17.22409196992521
rte,Qwen/Qwen3-4B,8,4,alternating,alternating,200,0.875,0.8748466871918099,706.0,17.557778697213507
rte,Qwen/Qwen3-4B,8,4,random,random_0,200,0.88,0.8798919027124412,706.0,18.381890869059134
rte,Qwen/Qwen3-4B,8,4,random,random_1,200,0.86,0.8596491228070176,706.0,16.85646433799411
rte,Qwen/Qwen3-4B,8,4,random,random_2,200,0.875,0.8748466871918099,706.0,17.311370354087558
rte,Qwen/Qwen3-4B,8,4,random,random_3,200,0.885,0.8847666524712543,706.0,17.131687258079182
rte,Qwen/Qwen3-4B,8,4,random,random_4,200,0.88,0.8798919027124412,706.0,15.376323803851847
rte,Qwen/Qwen3-4B,2,5,canonical,canonical,200,0.84,0.839421918908069,317.03,9.122542284967494
rte,Qwen/Qwen3-4B,2,5,label_grouped,label_grouped,200,0.84,0.839421918908069,317.03,9.131910917974892
rte,Qwen/Qwen3-4B,2,5,alternating,alternating,200,0.84,0.839421918908069,317.03,9.196982800000114
rte,Qwen/Qwen3-4B,2,5,random,random_0,200,0.83,0.8295739348370927,317.03,9.115940711984877
rte,Qwen/Qwen3-4B,2,5,random,random_1,200,0.83,0.8295739348370927,317.03,9.082958545957808
rte,Qwen/Qwen3-4B,2,5,random,random_2,200,0.83,0.8295739348370927,317.03,9.117830704009975
rte,Qwen/Qwen3-4B,2,5,random,random_3,200,0.83,0.8295739348370927,317.03,9.01795552711701
rte,Qwen/Qwen3-4B,2,5,random,random_4,200,0.84,0.839421918908069,317.03,9.100187754971557
rte,Qwen/Qwen3-4B,4,5,canonical,canonical,200,0.83,0.8291628982011858,341.03,9.303473115011002
rte,Qwen/Qwen3-4B,4,5,label_grouped,label_grouped,200,0.835,0.8344993605657113,341.03,9.27470535998873
rte,Qwen/Qwen3-4B,4,5,alternating,alternating,200,0.83,0.8291628982011858,341.03,9.220744220001507
rte,Qwen/Qwen3-4B,4,5,random,random_0,200,0.84,0.839421918908069,341.03,9.25625915415003
rte,Qwen/Qwen3-4B,4,5,random,random_1,200,0.84,0.839421918908069,341.03,9.28623546102608
rte,Qwen/Qwen3-4B,4,5,random,random_2,200,0.84,0.839421918908069,341.03,9.329396673114388
rte,Qwen/Qwen3-4B,4,5,random,random_3,200,0.845,0.8446854881134297,341.03,9.291456952050794
rte,Qwen/Qwen3-4B,4,5,random,random_4,200,0.84,0.8395989974937343,341.03,9.390799465938471
rte,Qwen/Qwen3-4B,8,5,canonical,canonical,200,0.84,0.8392121394834691,619.03,12.882674894965021
rte,Qwen/Qwen3-4B,8,5,label_grouped,label_grouped,200,0.845,0.8445297023496076,619.03,12.812864140956663
rte,Qwen/Qwen3-4B,8,5,alternating,alternating,200,0.835,0.8337991992143234,619.03,12.837238000895013
rte,Qwen/Qwen3-4B,8,5,random,random_0,200,0.845,0.8445297023496076,619.03,12.833013532101177
rte,Qwen/Qwen3-4B,8,5,random,random_1,200,0.845,0.8441231929604023,619.03,12.970190651001758
rte,Qwen/Qwen3-4B,8,5,random,random_2,200,0.845,0.8443423464135975,619.03,14.001828993859817
rte,Qwen/Qwen3-4B,8,5,random,random_3,200,0.84,0.8389694041867956,619.03,16.237502431002213
rte,Qwen/Qwen3-4B,8,5,random,random_4,200,0.84,0.8392121394834691,619.03,16.23612396499084
mrpc,Qwen/Qwen3-4B,2,1,canonical,canonical,200,0.73,0.7277951406391774,201.47,9.735458796043531
