dataset,total_shots,seed_count,evaluated_unique_permutations_per_seed,aggregate_cells_used_per_seed_in_public_package,mean_accuracy_spread,median_accuracy_spread,max_accuracy_spread,mean_macro_f1_spread,median_macro_f1_spread,max_macro_f1_spread
mrpc,2,5,2,10,0.02300000000000002,0.020000000000000018,0.04500000000000004,0.025256108698019177,0.02016332291561651,0.054168970613222456
mrpc,4,5,24,32,0.05700000000000003,0.05500000000000005,0.07000000000000006,0.06083829010725152,0.06315357851012726,0.07899849333757525
mrpc,8,5,38,38,0.04800000000000004,0.050000000000000044,0.06000000000000005,0.05089458409162793,0.05036027568922319,0.06317152797244319
rte,2,5,2,10,0.006000000000000005,0.0050000000000000044,0.010000000000000009,0.005875119310050114,0.004983619564226993,0.009847984070976312
rte,4,5,24,32,0.026000000000000023,0.030000000000000027,0.03500000000000003,0.026500696326786997,0.03002702432188975,0.03499035636768766
rte,8,5,38,38,0.03700000000000003,0.03500000000000003,0.040000000000000036,0.03802356341844142,0.036520411523396246,0.04139135718083087
sst2,2,5,2,10,0.007999999999999985,0.009999999999999898,0.015000000000000013,0.008041389177144231,0.010011252756875977,0.015030387764495945
sst2,4,5,24,32,0.03399999999999994,0.03499999999999992,0.05499999999999994,0.03414334208282359,0.03512708010007948,0.0551887649497933
sst2,8,5,38,38,0.030999999999999917,0.029999999999999916,0.039999999999999925,0.031131206770673336,0.030090862656788286,0.04032517061421126
