order_family,order_id,n_strata,mean_accuracy_regret,max_accuracy_regret,mean_macro_f1_regret,max_macro_f1_regret
alternating,alternating,45,0.010555555555555556,0.03500000000000003,0.010845411097771299,0.03516912412699813
label_grouped,label_grouped,45,0.012111111111111114,0.050000000000000044,0.012573129677000614,0.05045535962057568
random,random_0,45,0.009888888888888885,0.04500000000000004,0.01040508836755664,0.054168970613222456
random,random_1,45,0.00855555555555555,0.050000000000000044,0.008826997533302568,0.05708452539254005
random,random_2,45,0.012666666666666666,0.04500000000000004,0.013314269743382567,0.054168970613222456
random,random_3,45,0.011222222222222217,0.05499999999999994,0.011435951342056171,0.0551887649497933
random,random_4,45,0.010666666666666668,0.05500000000000005,0.01119511554571851,0.054168970613222456
seeded_base,seeded_base,45,0.010666666666666672,0.04500000000000004,0.011311005588143725,0.054168970613222456
